OID_,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Area,maxtemp_c
0,55,025,001902,55025001902,1400000US55025001902,19.02,Census Tract 19.02,G5020,S,694532.000000000000000,0.000000000000000,+43.0912375,-089.3545551,694533.184932000003755,36.6222992
1,55,025,000506,55025000506,1400000US55025000506,5.06,Census Tract 5.06,G5020,S,1679640.000000000000000,0.000000000000000,+43.0227713,-089.4798422,1679639.188860000111163,36.8897018
2,55,025,011407,55025011407,1400000US55025011407,114.07,Census Tract 114.07,G5020,S,15520182.000000000000000,56815.000000000000000,+43.0579078,-089.2633050,15577003.535499999299645,36.6277008
3,55,025,001405,55025001405,1400000US55025001405,14.05,Census Tract 14.05,G5020,S,8084602.000000000000000,50632.000000000000000,+43.0202317,-089.4011494,8135233.741840000264347,36.9701996
4,55,025,010504,55025010504,1400000US55025010504,105.04,Census Tract 105.04,G5020,S,2915726.000000000000000,0.000000000000000,+43.0172547,-089.2970964,2915726.793490000069141,36.6223984
5,55,025,012003,55025012003,1400000US55025012003,120.03,Census Tract 120.03,G5020,S,10790395.000000000000000,0.000000000000000,+43.0924117,-089.2160320,10790390.907299999147654,36.3959999
6,55,025,011403,55025011403,1400000US55025011403,114.03,Census Tract 114.03,G5020,S,3229355.000000000000000,0.000000000000000,+43.0947370,-089.2570723,3229350.728589999955148,36.3608017
7,55,025,011406,55025011406,1400000US55025011406,114.06,Census Tract 114.06,G5020,S,3250503.000000000000000,0.000000000000000,+43.0944273,-089.2762178,3250502.445299999788404,36.3608017
8,55,025,010908,55025010908,1400000US55025010908,109.08,Census Tract 109.08,G5020,S,66524838.000000000000000,427049.000000000000000,+43.1378264,-089.5569427,66951886.570699997246265,36.6887016
9,55,025,000410,55025000410,1400000US55025000410,4.10,Census Tract 4.10,G5020,S,1453114.000000000000000,600.000000000000000,+43.0543220,-089.5066088,1453711.549790000077337,36.6399002
10,55,025,011507,55025011507,1400000US55025011507,115.07,Census Tract 115.07,G5020,S,5678242.000000000000000,0.000000000000000,+43.2012205,-089.2443445,5678238.811800000257790,36.3148994
11,55,025,010905,55025010905,1400000US55025010905,109.05,Census Tract 109.05,G5020,S,9519738.000000000000000,18724.000000000000000,+43.0580234,-089.5341228,9538466.500770000740886,36.6399002
12,55,025,011202,55025011202,1400000US55025011202,112.02,Census Tract 112.02,G5020,S,61504103.000000000000000,358740.000000000000000,+43.1701679,-089.4891206,61862816.816500000655651,36.6887016
13,55,025,011508,55025011508,1400000US55025011508,115.08,Census Tract 115.08,G5020,S,8930159.000000000000000,0.000000000000000,+43.2135428,-089.2332210,8930162.300389999523759,36.3148994
14,55,025,010906,55025010906,1400000US55025010906,109.06,Census Tract 109.06,G5020,S,7095163.000000000000000,0.000000000000000,+43.0714593,-089.5551117,7095161.971880000084639,36.6399002
15,55,025,010801,55025010801,1400000US55025010801,108.01,Census Tract 108.01,G5020,S,6678345.000000000000000,2744.000000000000000,+43.0050773,-089.5196730,6681087.427840000018477,36.6397018
16,55,025,000409,55025000409,1400000US55025000409,4.09,Census Tract 4.09,G5020,S,2867087.000000000000000,44987.000000000000000,+43.0400888,-089.5116794,2912075.193880000151694,36.8897018
17,55,025,010503,55025010503,1400000US55025010503,105.03,Census Tract 105.03,G5020,S,15238375.000000000000000,133446.000000000000000,+42.9971276,-089.2754814,15371821.360799999907613,36.6460991
18,55,025,013201,55025013201,1400000US55025013201,132.01,Census Tract 132.01,G5020,S,177129957.000000000000000,1193645.000000000000000,+43.2540503,-089.4861564,178302905.159999996423721,36.7756996
19,55,025,000505,55025000505,1400000US55025000505,5.05,Census Tract 5.05,G5020,S,1699506.000000000000000,0.000000000000000,+43.0226291,-089.4922166,1699506.943909999914467,36.8897018
20,55,025,013202,55025013202,1400000US55025013202,132.02,Census Tract 132.02,G5020,S,63201821.000000000000000,296216.000000000000000,+43.2273910,-089.2817312,63492635.581500001251698,36.4053001
